title,skills,years of experience,technologies required,company,application link
Data Scientist,"[""communication"",""mathematics"",""statistics"",""computer science"",""data analysis"",""technical requirements translation"",""machine learning"",""programming"",""statistical analysis"",""leadership"",""adaptability"",""recommendation generation"",""data science""]",3+,[],Clear Ridge Defense,
POLICE RECORDS TECHNICIAN I,"[""bilingual (Spanish/English)"",""customer service"",""verbal communication"",""written communication"",""flexibility"",""adaptability"",""professionalism"",""interpersonal skills"",""organization"",""multitasking"",""attention to detail"",""discretion"",""confidentiality"",""learning ability"",""keyboarding (45 WPM)"",""public contact"",""safe driving"",""respect"",""integrity"",""compassion"",""teamwork"",""accountability""]",2+,"[""Microsoft Excel"",""Microsoft Word"",""Microsoft Outlook"",""NEOGOV (online application system)""]",City of Gilroy,https://www.schooljobs.com/jobs/5128538/police-records-technician-i/apply
Executive Assistant / Virtual Assistant,"[""Proactiveness"",""Organization"",""Detail-orientation"",""Professionalism"",""Discretion"",""Executive correspondence management"",""Schedule management"",""Meeting coordination"",""Social media presence management"",""Personal brand management"",""Travel arrangements coordination"",""Personal scheduling"",""English communication (C1 level or higher)"",""Spanish communication (bilingual)"",""Portuguese communication (optional)"",""Calendar management"",""Email correspondence management"",""Multiple priorities management"",""Independent work"",""Timely responses"",""Content curation"",""Content scheduling"",""Content publishing"",""Brand visibility"",""Brand engagement"",""Itinerary management"",""Problem-solving"",""Collaboration"",""Innovation"",""Service-orientation"",""Relationship building"",""Leadership""]",3+,[],Wiraa,https://www.wiraa.com/job-description/us0F02FE6A95930DC595627473D5E64831?source=Linkedin
,,,,Maveris,
Editorial Production Assistant,"[""Organizational skills"",""Time-management"",""Detail-oriented"",""Written communication"",""Verbal communication"",""Interpersonal communication"",""Grammar"",""Punctuation"",""Spelling"",""Troubleshooting"",""Collaboration"",""Teamwork"",""Quality control"",""Copy editing"",""Formatting"",""User Acceptance Testing (UAT)"",""Data entry""]",1 year or less,"[""Microsoft Word"",""Microsoft Excel"",""Microsoft Teams"",""Databases""]",NBME,
,[],,[],Texas Department Of Criminal Justice,https://de.jobsyn.org/8582C21E1B114A659A5362390BEF21875044
Data Scientist,"[""Communication"",""Interpersonal Communication"",""Mathematics"",""Statistics"",""Computer Science"",""Data Analysis"",""Machine Learning"",""Programming"",""Statistical Analysis"",""Requirements Analysis"",""Technical Recommendation"",""Teamwork"",""Leadership"",""Adaptability"",""Data Science"",""Problem Solving""]",3+,[],Clear Ridge Defense,
IT Specialist,"[""Troubleshooting (hardware, software, peripheral devices)"",""Technical Support"",""Helpdesk Support"",""End User Account Management"",""Effective Communication"",""Self-sufficiency"",""Efficiency Seeking"",""Teamwork"",""Prioritization"",""Ticketing System Management"",""Issue Tracking"",""Change Request Management"",""Licensing Management"",""Onboarding Procedures"",""Offboarding Procedures"",""IT Project Assistance"",""Break/Fix Troubleshooting"",""Escalation Determination"",""Cybersecurity Awareness (malware/phishing)"",""Integrity"",""Flexibility"",""Creative Solutions"",""Deep Technical Expertise"",""Continuous Learning"",""Professional Service""]",2-3 years,"[""Windows 10"",""Windows 11"",""Microsoft Azure AD"",""Microsoft Intune"",""Microsoft 365"",""Exchange Online"",""Google Workspace"",""HP Hardware"",""Dell Hardware"",""Lenovo Hardware"",""OneDrive"",""SharePoint"",""Google Drive"",""Apple (Mobile Devices)"",""Android (Mobile Devices)"",""Zoom"",""Adobe Products"",""CompTIA A+"",""CompTIA Network+"",""MCSE"",""Microsoft Azure""]",CFGI,
Cybersecurity Analyst - Tier 2,"[""Incident response"",""Real-time monitoring"",""Security alert triage"",""Investigation"",""Analysis"",""Remediation"",""Documentation"",""Collaboration"",""Communication"",""Problem-solving"",""Analytical skills"",""Independent work"",""Teamwork"",""Quick learning"",""Mentoring"",""Cybersecurity principles"",""Proactive mindset"",""Performance monitoring"",""Alert tuning"",""Automation""]",3+,"[""SIEM"",""EDR"",""IDS/IPS"",""Network monitoring tools"",""ServiceNow"",""SOAR""]",Maveris,
Executive Assistant,"[""Organizational skills"",""Attention to detail"",""Confidentiality"",""Schedule management"",""Documentation preparation"",""Communication (verbal and written)"",""Time management"",""Task prioritization"",""Independent work"",""Following instructions"",""Observation skills"",""Adaptability"",""Secretarial duties"",""Meeting management"",""Information management"",""Research"",""Project support"",""Team communication"",""Collaboration"",""Executive support""]",3+,"[""Microsoft Word"",""Microsoft Excel"",""Microsoft PowerPoint"",""Microsoft Outlook"",""Visio"",""Concur Travel"",""Microsoft Teams""]",Wiraa,https://www.wiraa.com/job-description/us4DFEA35E74E27F429F0F42F4FD45A63B?source=Linkedin
Data Scientist,"[""data analysis"",""communication"",""mathematics"",""statistics"",""computer science"",""analytical skills"",""problem-solving"",""requirements gathering"",""technical communication"",""interpersonal communication"",""adaptability"",""leadership"",""machine learning"",""programming"",""statistical analysis""]",3+,[],Clear Ridge Defense,
Learning and Development Specialist,"[""Learning event design"",""Learning event development"",""Learning event facilitation"",""Learning solution design"",""Session facilitation"",""Program management"",""Content design"",""Content development"",""Collaboration"",""Group facilitation"",""Fostering participation"",""Project management"",""Planning"",""Scheduling"",""Communication planning"",""Event logistics management"",""Resource management"",""Learning feedback analysis"",""Continuous improvement"",""Training content development"",""Training implementation"",""Training delivery"",""Instructional design"",""Training effectiveness measurement"",""Verbal communication"",""Written communication"",""Organizational skills"",""Attention to detail"",""Multitasking""]",8+,[],NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Learning-and-Development-Specialist_JR2002688?source=jobboardlinkedin
Associate Learning Advisor,"[""Advising"",""Motivating"",""Sales"",""Revenue Generation"",""Community Building"",""Relationship Management"",""Collaboration"",""Goal-oriented"",""Results-oriented"",""Communication"",""Learning"",""Adaptability""]",not specified,[],Konrad,
Data Entry Specialist,"[""Attention to detail"",""Organizational skills"",""Multitasking"",""Time management"",""Meeting deadlines"",""Confidentiality"",""HIPAA compliance"",""Data entry"",""Workflow improvement"",""Customer service"",""Communication"",""Documentation"",""Self-motivation"",""Dependability"",""Independent work"",""Teamwork"",""Productivity"",""Quality standards adherence"",""Fast-paced environment adaptability"",""Safeguarding sensitive health information"",""Learning new programs and processes"",""Data accuracy"",""Data consistency"",""Release of Information (ROI) process"",""Physical stamina (sitting/standing, lifting, manual dexterity, visual acuity, speaking, hearing, hand-eye coordination)""]",not specified,"[""Microsoft Word"",""Microsoft Excel"",""Microsoft Outlook"",""EMR platforms""]",Wiraa,https://www.wiraa.com/job-description/us910A5C02B19EA70A9ADDFBFBA6EBBC80?source=Linkedin
Grants Manager,"[""Grant administration"",""Program management"",""Regulatory compliance"",""Technical writing"",""Storytelling"",""Proposal development"",""Research"",""Relationship building"",""Coordination"",""Facilitation"",""Compliance management"",""Submission management"",""Contracting"",""Reporting"",""Scheduling"",""Responsiveness"",""Situational awareness"",""Troubleshooting"",""Escalation"",""Forecasting"",""Financial planning"",""Decision-making support"",""Tracking"",""Approval processes"",""Meeting management"",""Agenda setting"",""Presentation development"",""Operational efficiency identification"",""Process management"",""Project leadership"",""Complexity management"",""Milestone management"",""Dependency management"",""Integration management"",""Risk management"",""Agile development practices"",""Continuous integration"",""Continuous delivery"",""Procedure development"",""Procedure implementation"",""Procedure monitoring"",""Grant requirements tracking"",""Record-keeping laws knowledge"",""Empathetic communication"",""Written communication"",""Verbal communication"",""Adaptable problem-solving"",""Organizational skills"",""Business growth"",""Sustainability"",""Culture-conscious business practices"",""Strategic planning"",""Delivery planning"",""Iterative execution"",""IT modernization"",""Ambiguity management"",""Agile transformation"",""Project management best practices"",""Client engagement"",""Stakeholder engagement"",""Production operations management"",""Support management"",""Product development"",""Feature development""]",2-3 years,"[""Scrum"",""Kanban"",""SAFe"",""Jira"",""Confluence""]",Nava,
"Senior Director, Talent Acquisition","[""Talent Acquisition Strategy"",""Strategy Development"",""Strategy Execution"",""Hiring Practices"",""Scaling"",""Team Management"",""Leadership"",""Business Partnership"",""Collaboration"",""Talent Attraction"",""Talent Engagement"",""Workforce Planning"",""Mentoring"",""Team Development"",""Diversity, Equity, and Inclusion (DEI)"",""Sourcing"",""Outreach"",""High-Volume Recruitment"",""Talent Pipeline Management"",""Cross-functional Partnership"",""Process Building"",""Efficiency"",""Inclusivity"",""Employer Branding"",""Candidate Experience Management"",""Social Media Management"",""Career Site Management"",""Event Management (Job Fairs)"",""Community Partnerships"",""Operational Excellence"",""Process Design"",""Optimization"",""System Implementation"",""Talent Acquisition Metrics"",""Reporting"",""Data Analysis"",""Continuous Improvement"",""Strategic Thinking"",""Problem-Solving"",""Communication"",""Building Trust"",""Influencing"",""Data-Driven Mindset"",""Equitable Hiring"",""Corporate Recruitment"",""Manufacturing Recruitment"",""Agility"",""Curiosity"",""Positivity""]",10+,[],CAVA,
Head of Marketing – The Americas,"[""Marketing Strategy"",""Digital Marketing"",""Leadership"",""Collaboration"",""Relationship Management"",""Strategic Planning"",""Sales Performance"",""E-commerce"",""Online Traffic Generation"",""Conversion Optimization"",""Revenue Growth"",""Advertising"",""Public Relations"",""Promotional Campaigns"",""Campaign Management"",""Agency Management"",""Social Media Strategy"",""Content Strategy"",""Team Management"",""Mentoring"",""Project Management"",""Performance Monitoring"",""Data Analysis"",""Reporting"",""Insights Generation"",""Data-driven Decision Making"",""ROI Analysis"",""Communication"",""Multitasking"",""Priority Management"",""Results Orientation"",""Creativity"",""Performance Analytics""]",5-8 years,[],Air Tahiti Nui,
Customer Experience Manager,"[""proactive"",""data-driven"",""operational excellence"",""stakeholder management"",""customer advocacy"",""solutions-oriented"",""leadership"",""project management"",""workflow optimization"",""analytical thinking"",""KPI interpretation"",""Voice of the Customer (VoC) expertise"",""relationship management"",""cross-functional collaboration"",""problem-solving"",""strategic thinking"",""influencing"",""mentoring"",""continuous improvement"",""business insights"",""training development"",""quality guideline creation"",""managing distribution partners"",""navigating complex organizations"",""digital media"",""travel""]",5+ years (including 1+ year in people management or operational leadership),[],The Walt Disney Company,https://www.disneycareers.com/job/-/-/391/87346927488
,,,,City of Racine,https://www.schooljobs.com/jobs/5059049/firefighter/apply
"Associate Producer, Narrative","[""Communication"",""Problem-solving"",""Collaboration"",""Project Management"",""Adaptability"",""Eagerness to Learn"",""Logistical Support"",""Risk Identification"",""Roadblock Removal"",""Performance Optimization"",""Team Culture Maintenance"",""Transparency"",""Motivation"",""Commitment"",""Goal Orientation"",""Relationship Building"",""Time Management"",""Budget Management"",""Quality Management"",""Scope Management"",""Coordination"",""Ingenuity"",""Creativity"",""Storytelling"",""Innovation"",""Integrity"",""Excellence"",""Respect"",""Inclusion""]",2+,[],Netflix,https://explore.jobs.netflix.net/careers/job/790312670532?microsite=netflix.com&utm_source=LinkedIn&domain=netflix.com
